x, 0, 0, 2025-12-17 13:26:31.923466, 2a.sql, 5.355, 620.61, PG
x, 0, 1, 2025-12-17 13:26:32.483422, 2a.sql, 4.914, 624.674, PG
x, 0, 2, 2025-12-17 13:26:34.168738, 2a.sql, 151.066, 539.997, PG
x, 1, 0, 2025-12-17 13:26:38.481058, 10c.sql, 8.189, 4369.304, PG
x, 1, 1, 2025-12-17 13:26:42.798191, 10c.sql, 8.138, 4376.089, PG
x, 1, 2, 2025-12-17 13:26:51.874630, 10c.sql, 151.677, 4275.495, PG
x, 2, 0, 2025-12-17 13:26:54.759595, 18a.sql, 11.543, 2940.052, PG
x, 2, 1, 2025-12-17 13:26:57.664154, 18a.sql, 10.627, 2961.406, PG
x, 2, 2, 2025-12-17 13:27:03.796738, 18a.sql, 168.037, 2850.594, PG
x, 3, 0, 2025-12-17 13:27:12.353103, 17a.sql, 10.547, 8614.808, PG
x, 3, 1, 2025-12-17 13:27:20.886251, 17a.sql, 10.593, 8591.40, PG
x, 3, 2, 2025-12-17 13:27:37.702890, 17a.sql, 151.503, 8228.178, PG
x, 4, 0, 2025-12-17 13:27:37.871627, 32b.sql, 6.414, 232.475, PG
x, 4, 1, 2025-12-17 13:27:38.041619, 32b.sql, 6.579, 233.566, PG
x, 4, 2, 2025-12-17 13:27:38.992625, 32b.sql, 150.488, 183.2, PG
x, 5, 0, 2025-12-17 13:27:40.986084, 30a.sql, 94.731, 1965.94, PG
x, 5, 1, 2025-12-17 13:27:42.984557, 30a.sql, 98.263, 1964.507, PG
x, 5, 2, 2025-12-17 13:27:48.714159, 30a.sql, 223.176, 1678.30, PG
x, 6, 0, 2025-12-17 13:27:48.774143, 6e.sql, 5.3, 125.06, PG
x, 6, 1, 2025-12-17 13:27:48.830820, 6e.sql, 5.228, 121.993, PG
x, 6, 2, 2025-12-17 13:27:49.607253, 6e.sql, 151.472, 104.295, PG
x, 7, 0, 2025-12-17 13:27:50.306445, 12c.sql, 14.251, 753.796, PG
x, 7, 1, 2025-12-17 13:27:51.019643, 12c.sql, 13.889, 766.817, PG
x, 7, 2, 2025-12-17 13:27:53.148489, 12c.sql, 170.472, 722.727, PG
x, 8, 0, 2025-12-17 13:27:53.271836, 21c.sql, 25.328, 166.666, PG
x, 8, 1, 2025-12-17 13:27:53.390976, 21c.sql, 23.312, 164.415, PG
x, 8, 2, 2025-12-17 13:27:54.519880, 21c.sql, 163.146, 180.958, PG
x, 9, 0, 2025-12-17 13:27:54.628015, 11a.sql, 14.118, 162.66, PG
x, 9, 1, 2025-12-17 13:27:54.731784, 11a.sql, 12.857, 159.787, PG
x, 9, 2, 2025-12-17 13:27:55.654408, 11a.sql, 153.704, 151.784, PG
x, 10, 0, 2025-12-17 13:27:56.977769, 16d.sql, 15.674, 1376.33, PG
x, 10, 1, 2025-12-17 13:27:58.296501, 16d.sql, 16.04, 1370.477, PG
x, 10, 2, 2025-12-17 13:28:01.283074, 16d.sql, 153.718, 1118.594, PG
x, 11, 0, 2025-12-17 13:28:03.673538, 25a.sql, 23.972, 2433.435, PG
x, 11, 1, 2025-12-17 13:28:06.043951, 25a.sql, 24.522, 2412.79, PG
x, 11, 2, 2025-12-17 13:28:11.030039, 25a.sql, 157.749, 1910.027, PG
x, 12, 0, 2025-12-17 13:28:15.305927, 10c.sql, 8.288, 4332.751, PG
x, 12, 1, 2025-12-17 13:28:19.628404, 10c.sql, 9.447, 4378.151, PG
x, 12, 2, 2025-12-17 13:28:28.644963, 10c.sql, 168.555, 4238.361, PG
x, 13, 0, 2025-12-17 13:28:44.123665, 16b.sql, 16.25, 15531.531, PG
x, 13, 1, 2025-12-17 13:28:59.551381, 16b.sql, 15.751, 15480.24, PG
x, 13, 2, 2025-12-17 13:29:29.542596, 16b.sql, 155.421, 15150.672, PG
x, 14, 0, 2025-12-17 13:29:30.092006, 2b.sql, 5.089, 613.984, PG
x, 14, 1, 2025-12-17 13:29:30.634518, 2b.sql, 5.347, 607.324, PG
x, 14, 2, 2025-12-17 13:29:32.285596, 2b.sql, 146.225, 524.524, PG
x, 15, 0, 2025-12-17 13:29:32.556268, 26b.sql, 68.191, 270.153, PG
x, 15, 1, 2025-12-17 13:29:32.823682, 26b.sql, 66.581, 269.106, PG
x, 15, 2, 2025-12-17 13:29:35.038478, 26b.sql, 200.324, 211.281, PG
x, 16, 0, 2025-12-17 13:29:36.375155, 16d.sql, 15.133, 1390.038, PG
x, 16, 1, 2025-12-17 13:29:37.694648, 16d.sql, 6.997, 1385.837, PG
x, 16, 2, 2025-12-17 13:29:40.772452, 16d.sql, 154.13, 1184.194, PG
x, 17, 0, 2025-12-17 13:29:45.052057, 28a.sql, 279.716, 4046.982, PG
x, 17, 1, 2025-12-17 13:29:49.327096, 28a.sql, 278.684, 4043.715, PG
x, 17, 2, 2025-12-17 13:30:03.255320, 28a.sql, 394.562, 3924.041, PG
x, 18, 0, 2025-12-17 13:30:03.366083, 4b.sql, 5.162, 175.277, PG
x, 18, 1, 2025-12-17 13:30:03.476653, 4b.sql, 5.233, 175.118, PG
x, 18, 2, 2025-12-17 13:30:04.340693, 4b.sql, 147.014, 157.367, PG
x, 19, 0, 2025-12-17 13:30:04.643681, 10a.sql, 9.168, 361.543, PG
x, 19, 1, 2025-12-17 13:30:04.936534, 10a.sql, 8.81, 351.989, PG
x, 19, 2, 2025-12-17 13:30:06.217069, 10a.sql, 169.437, 344.496, PG
x, 20, 0, 2025-12-17 13:30:06.330962, 4b.sql, 5.082, 178.163, PG
x, 20, 1, 2025-12-17 13:30:06.443664, 4b.sql, 4.822, 177.529, PG
x, 20, 2, 2025-12-17 13:30:07.284080, 4b.sql, 146.093, 150.581, PG
x, 21, 0, 2025-12-17 13:30:09.582944, 30c.sql, 93.046, 2262.22, PG
x, 21, 1, 2025-12-17 13:30:11.884179, 30c.sql, 92.604, 2264.527, PG
x, 21, 2, 2025-12-17 13:30:17.991534, 30c.sql, 221.041, 1803.496, PG
x, 22, 0, 2025-12-17 13:30:18.117919, 1a.sql, 5.056, 190.201, PG
x, 22, 1, 2025-12-17 13:30:18.241611, 1a.sql, 2.335, 195.015, PG
x, 22, 2, 2025-12-17 13:30:19.119675, 1a.sql, 148.147, 181.202, PG
x, 23, 0, 2025-12-17 13:30:19.438567, 15a.sql, 23.58, 362.803, PG
x, 23, 1, 2025-12-17 13:30:19.763842, 15a.sql, 25.636, 367.014, PG
x, 23, 2, 2025-12-17 13:30:21.297754, 15a.sql, 176.36, 348.664, PG
x, 24, 0, 2025-12-17 13:30:22.954642, 8d.sql, 10.091, 1710.193, PG
x, 24, 1, 2025-12-17 13:30:24.607826, 8d.sql, 9.995, 1706.783, PG
x, 24, 2, 2025-12-17 13:30:28.285387, 8d.sql, 164.422, 1585.952, PG
0, 0, 0, 2025-12-17 13:30:33.851375, 1a.sql, 219.202, 181.227, Bao
0, 0, 1, 2025-12-17 13:30:34.543388, 1a.sql, 221.173, 188.268, Bao
0, 0, 2, 2025-12-17 13:30:35.510358, 1a.sql, 194.806, 181.626, Bao
0, 1, 0, 2025-12-17 13:30:39.062436, 13a.sql, 352.944, 2747.292, Bao
0, 1, 1, 2025-12-17 13:30:42.381585, 13a.sql, 359.275, 2502.446, Bao
0, 1, 2, 2025-12-17 13:30:48.001575, 13a.sql, 315.362, 2388.064, Bao
0, 2, 0, 2025-12-17 13:30:51.344202, 13a.sql, 357.098, 2517.302, Bao
0, 2, 1, 2025-12-17 13:30:54.659998, 13a.sql, 354.808, 2491.918, Bao
0, 2, 2, 2025-12-17 13:31:00.307384, 13a.sql, 319.131, 2388.493, Bao
0, 3, 0, 2025-12-17 13:31:03.013674, 5c.sql, 220.56, 2163.981, Bao
0, 3, 1, 2025-12-17 13:31:05.638665, 5c.sql, 231.112, 2058.127, Bao
0, 3, 2, 2025-12-17 13:31:10.300629, 5c.sql, 206.275, 1961.894, Bao
0, 4, 0, 2025-12-17 13:31:24.983358, 28c.sql, 5326.47, 3809.492, Bao
0, 4, 1, 2025-12-17 13:31:39.435481, 28c.sql, 5336.966, 3621.218, Bao
0, 4, 2, 2025-12-17 13:32:02.370022, 28c.sql, 5172.627, 3556.616, Bao
0, 5, 0, 2025-12-17 13:32:03.098434, 4b.sql, 228.933, 177.085, Bao
0, 5, 1, 2025-12-17 13:32:03.804780, 4b.sql, 227.68, 173.842, Bao
0, 5, 2, 2025-12-17 13:32:04.777677, 4b.sql, 195.277, 152.278, Bao
0, 6, 0, 2025-12-17 13:32:06.503446, 32a.sql, 236.503, 1137.837, Bao
0, 6, 1, 2025-12-17 13:32:08.215422, 32a.sql, 241.905, 1128.192, Bao
0, 6, 2, 2025-12-17 13:32:11.051374, 32a.sql, 215.98, 1039.461, Bao
0, 7, 0, 2025-12-17 13:32:23.493553, 26a.sql, 1328.339, 9655.129, Bao
0, 7, 1, 2025-12-17 13:32:32.613185, 26a.sql, 1363.489, 6299.045, Bao
0, 7, 2, 2025-12-17 13:32:48.707257, 26a.sql, 1224.44, 6322.603, Bao
0, 8, 0, 2025-12-17 13:32:54.859794, 9a.sql, 337.055, 5343.788, Bao
0, 8, 1, 2025-12-17 13:32:59.979605, 9a.sql, 353.861, 4269.045, Bao
0, 8, 2, 2025-12-17 13:33:09.592898, 9a.sql, 314.578, 4386.169, Bao
0, 9, 0, 2025-12-17 13:33:15.690472, 20a.sql, 504.306, 4908.332, Bao
0, 9, 1, 2025-12-17 13:33:21.825414, 20a.sql, 501.905, 4965.857, Bao
0, 9, 2, 2025-12-17 13:33:32.729269, 20a.sql, 448.267, 4870.459, Bao
0, 10, 0, 2025-12-17 13:33:41.593726, 26c.sql, 1349.294, 6048.423, Bao
0, 10, 1, 2025-12-17 13:33:50.587291, 26c.sql, 1352.09, 6181.143, Bao
0, 10, 2, 2025-12-17 13:34:05.942357, 26c.sql, 1231.549, 5882.597, Bao
